name,lat,lon
2,36.172259,-115.1963237
2,36.1010205,-115.2443122
2,36.1137116,-115.3063648
3,36.1679035,-115.138142
2,36.099142,-115.136192
2,36.0658388,-115.1239441
2,36.0692097,-115.1773388
1,36.2384622,-115.2319504
1,36.2497194319,-115.244528251
3,36.046987,-115.1829358
2,36.1629318,-115.15825
2,36.177516,-115.173218
2,36.0194746369,-115.117385387
1,36.1591089,-115.2509355
2,36.1641707672,-115.289314807
1,36.29733,-115.270268
2,36.271169,-115.2677588
2,36.2699064,-115.2628727
2,36.2815367168,-115.286815456
1,36.1948912,-115.2051145
2,36.2165934,-115.2445735
3,36.1605691,-115.3208852
2,36.103953,-115.136215
1,36.114035,-115.128016
2,36.1041299,-115.1377251
1,36.1405381,-115.1426058
1,36.1430355663,-115.13705937
2,36.1362847,-115.1514119
2,36.1075601,-115.1524761
1,36.1257455,-115.2718422
4,36.239473,-115.2265117
1,36.108719,-115.1721291
2,36.1100836838,-115.173179008
2,36.0954151675,-115.174970342
1,36.160552,-115.318872
2,36.11289,-115.171282
3,36.1268841326,-115.167014281
1,36.121428,-115.169617
3,36.117966,-115.174839
1,36.1448952,-115.2001708
3,36.1427849,-115.2062979
2,36.1444044,-115.164856
2,36.0946344879,-115.174006601
1,36.0864569,-115.2437024
3,36.1646405,-115.2458821
1,36.05545,-115.27919
1,36.1955918,-115.04046
2,36.1714276,-115.2450798
2,36.0121485,-115.15323
1,36.1947007117,-115.205170581
2,36.1951244301,-115.207475737
1,36.1050259,-115.1359481
2,36.1434735,-115.2622382
1,36.1010606055,-115.280462827
1,36.1440225,-115.195896
2,36.0635111,-115.2507719
3,36.1580433,-115.0460999
1,36.0554554752,-115.241407124
2,36.3255827,-115.2896852
2,36.1249276,-115.1354186
2,36.0561222,-115.2812612
2,36.1915723,-115.2593102
4,36.1081923221,-115.176013461
2,36.1265953,-115.1653652
2,36.1051256,-115.1752326
4,36.102918,-115.169751
2,36.1272241,-115.1715512
1,36.1181654,-115.1706363
1,36.1067305,-115.1719754
3,36.1173432,-115.1763623
4,36.1107323,-115.1722365
3,36.119049,-115.176282
3,36.144376,-115.065809
2,36.144051,-115.198702
2,36.1739618,-115.1608111
2,36.1260441832,-115.211447937
2,36.1260788,-115.2198304
2,36.1158141,-115.0961763
2,36.3076324,-115.2785988
1,36.2684007,-115.2956118
2,36.1680995,-115.1922304
3,36.121073531,-115.163920022
1,36.1323077,-115.1589556
2,36.1100828,-115.1538714
1,36.16014,-115.108375
2,36.27129,-115.2062413
2,36.0335356835,-115.208445576
1,36.1235575,-115.2075378
1,36.1233348,-115.2170789
1,36.0684717,-115.1743346
1,36.0794089,-115.2980311
1,36.142796,-115.221713
1,36.1481287,-115.2426539
2,36.0993459,-115.167874
1,36.1265262,-115.2017756
2,36.1260199,-115.1936341
1,36.1269391,-115.2416392
2,36.125908,-115.197904
1,36.157312,-115.1151063
1,36.158352,-115.14703
2,36.099414,-115.2087414
1,36.1176493,-115.188279
2,36.1745759179,-115.292351246
2,36.1831362174,-115.160473593
2,36.1242687,-115.3254095
1,36.1744373,-115.2610247
1,36.011634058,-115.174586075
2,36.1323912,-115.1867608
