name,lat,long
2,33.3782141,-111.936102
1,43.661054,-79.429089
3,40.4445439533,-80.1745398943
2,43.6598286,-79.3754006
3,43.82764,-79.342722
2,33.5852707,-111.8349538
1,33.58671,-111.83541
3,48.7299,9.11242
1,36.029596485,-115.085821152
1,45.4707675,-73.6150299
2,43.5162547833,-79.6859058738
3,43.644258153,-79.4188293813
2,43.048623,-89.376341
2,33.4091719,-111.7884179
2,43.6449201,-79.3833328
2,36.172259,-115.1963237
2,35.4430145734,-80.8639253676
2,33.6393005153,-112.180893379
1,43.6658792,-79.3189651
2,41.4161517,-82.2076029
2,33.4353717916,-112.073970304
2,36.1010205,-115.2443122
1,35.1420067,-80.5469564
2,41.1657087,-81.4413704
1,43.6703273526,-79.2991900072
1,43.8261994,-79.3063174
1,35.2818742,-81.1883519
2,40.4459861,-80.0108802
1,33.5234896,-112.0646315
1,43.8229818717,-79.2479152131
2,35.212521,-80.857639
1,55.9514606,-3.2026603
1,33.5527667,-112.1359694
2,36.1137116,-115.3063648
3,36.1679035,-115.138142
3,43.7426127,-79.6987649
2,41.4292536,-81.889399
2,43.6396011,-79.3828902
1,41.4051928,-81.6930424
1,33.5961481,-112.1197325
3,43.7922629,-79.4473231
3,43.6895611,-79.3950445
2,33.2932652,-111.7889728
2,55.9556000402,-3.205036556
2,36.099142,-115.136192
2,36.0658388,-115.1239441
2,36.0692097,-115.1773388
1,34.9543037443,-80.8513490669
2,33.3411962,-111.8376361
2,33.5479573,-111.9247993
2,43.6441486,-79.42028
4,40.453725,-79.946995
2,33.3939166,-111.7872721
2,33.4943986,-111.9253409
2,33.4957243,-111.9287734
2,33.5047782,-111.9261807
2,33.4989367,-111.9213544
1,33.4816773,-111.9244992
2,41.2387348,-81.4405261
2,40.3828646,-80.0951019
3,48.8983029,9.1889038
2,33.2616371,-111.8845848
2,41.4395717,-81.726279
2,36.2919853,-115.1806678
1,36.2384622,-115.2319504
1,36.2497194319,-115.244528251
2,43.7782228,-79.414869
2,43.6695671,-79.3885937
1,46.504003,-91.834086
1,40.4553505818,-79.9777282029
2,43.6651059,-79.4107443
1,43.614245,-79.6613085
2,33.6383422,-112.3579458
1,43.0596333,-89.5135245
1,43.0749004,-89.3964973
2,35.295757,-80.741677
2,35.2966598,-80.737783
2,35.2949318,-80.7474815
2,33.5814052,-112.2685334
2,43.7773843697,-79.4152951241
2,43.6456554,-79.4485421
2,43.8505169104,-79.3575260416
1,41.52039,-81.49412
2,41.386824,-81.8519929
1,33.3794918,-112.1699497
2,33.3013481,-111.7435897
3,36.046987,-115.1829358
3,33.3622552832,-111.859540742
2,36.1629318,-115.15825
2,33.3045018,-111.9705272
3,33.6452913312,-112.114544436
1,33.6252846267,-112.414446464
1,35.130389,-80.7004897
1,36.004894,-114.941267
1,40.44258082,-79.9527347618
2,33.3856312,-111.6791041
1,33.378081,-111.906887
1,33.3628465,-111.9106619
2,36.177516,-115.173218
1,45.5205661,-73.5873511
4,43.6690201903,-79.3935410678
2,43.7005748,-79.4282011
2,33.5873557,-111.8372776
1,36.0413460255,-115.102552741
2,41.423565,-81.4774367
2,43.6420929,-79.3983832
1,33.714505545,-112.112238407
1,45.5025122,-73.5555426
2,36.0194746369,-115.117385387
1,35.346468,-80.852589
2,41.5099578,-81.5799966
2,43.7573272071,-79.2310826796
2,43.046808,-89.372392
1,33.3794143,-111.7541038
1,36.1591089,-115.2509355
2,36.1641707672,-115.289314807
1,36.29733,-115.270268
2,36.271169,-115.2677588
2,36.2699064,-115.2628727
2,36.2815367168,-115.286815456
2,43.8764965,-79.4105872
2,45.484974,-73.801866
3,45.46829,-73.6196226
3,43.593106,-79.6422471
2,35.972629,-114.912004
2,33.6613041,-112.1154134
1,33.6830962,-112.0820092
2,48.8407,9.25994
4,35.2264529,-80.8450651
2,43.8266608,-79.3507738
3,40.4273611,-79.964962
1,33.6370029,-112.2196904
2,33.633666,-112.235047
1,33.3193788,-111.9778751
2,33.3199471,-111.9795421
3,33.3213941,-111.9781532
2,36.002833,-115.102344
2,35.9911107,-115.1027119
2,33.430535,-112.345359
1,33.3772861,-111.7891162
2,33.3688472,-111.8235844
2,40.438453,-79.987978
1,41.152875,-81.358754
1,41.1411474,-81.3591705
2,43.6783912,-79.3898247
2,33.696442,-112.10747
2,43.6427722,-79.4260509
2,35.094605,-81.005171
2,33.50406238,-111.929430642
2,33.4821277,-111.9355378
3,33.5025088,-111.9290233
